the	это
a	а
an	один
and	и
or	или
but	но
if	если
then	тогда
yes	да
no	нет
not	не
i	я
you	ты
he	он
she	она
we	мы
they	они
it	это
is	есть
are	есть
was	был
were	были
be	быть
am	я
to	к
of	из
in	в
on	на
at	у
for	для
with	с
from	от
by	от
as	как
this	это
that	то
what	что
who	кто
why	почему
how	как
when	когда
where	где
my	мой
your	твой
his	его
her	её
our	наш
their	их
me	меня
him	его
us	нас
them	их
hello	привет
hi	привет
hey	эй
thanks	спасибо
thank you	спасибо
please	пожалуйста
sorry	прости
wait	подожди
stop	стой
go	иди
come	иди сюда
look	смотри
listen	слушай
run	беги
fight	бей
kill	убей
die	умри
love	любовь
hate	ненависть
friend	друг
enemy	враг
king	король
queen	королева
prince	принц
princess	принцесса
hero	герой
villain	злодей
magic	магия
sword	меч
power	сила
world	мир
life	жизнь
death	смерть
blood	кровь
soul	душа
heart	сердце
mind	разум
dark	тьма
light	свет
fire	огонь
water	вода
earth	земля
wind	ветер
sky	небо
night	ночь
day	день
school	школа
teacher	учитель
student	ученик
class	класс
home	дом
family	семья
mother	мама
father	папа
brother	брат
sister	сестра
child	ребёнок
man	мужчина
woman	женщина
boy	мальчик
girl	девочка
people	люди
god	бог
demon	демон
angel	ангел
monster	монстр
dragon	дракон
war	война
peace	мир
hope	надежда
fear	страх
pain	боль
help	помоги
save	спаси
leave	уйди
stay	останься
never	никогда
always	всегда
now	сейчас
here	здесь
there	там
again	снова
still	всё ещё
already	уже
maybe	может быть
really	правда
right	верно
wrong	неверно
good	хорошо
bad	плохо
great	отлично
okay	ладно
ok	ок
yeah	да
huh	а
what?	что?
why?	почему?
who?	кто?
damn	чёрт
hell	ад
damn it	чёрт возьми
oh	о
ah	ах
wow	ого
no way	не может быть
i see	понятно
i know	я знаю
i don't know	я не знаю
i love you	я тебя люблю
i hate you	я тебя ненавижу
let's go	пошли
come on	давай
hurry	быстрее
watch out	осторожно
get away	прочь
don't	не
can't	не могу
won't	не буду
didn't	не
isn't	не
aren't	не
I'm	я
you're	ты
he's	он
she's	она
we're	мы
they're	они
it's	это
that's	это
what's	что
let's	давай
chapter	глава
volume	том
episode	серия
to be continued	продолжение следует
the end	конец
next	дальше
previous	назад
continue	продолжить
begin	начало
end	конец
true	правда
false	ложь
secret	секрет
lie	ложь
promise	обещание
dream	мечта
nightmare	кошмар
wake up	проснись
sleep	спи
eat	ешь
drink	пей
talk	говори
speak	говори
tell me	скажи мне
show me	покажи
give me	дай мне
take	возьми
open	открой
close	закрой
attack	атака
defend	защищайся
win	победа
lose	поражение
strong	сильный
weak	слабый
fast	быстрый
slow	медленный
beautiful	красивая
ugly	уродливый
young	молодой
old	старый
new	новый
big	большой
small	маленький
long	длинный
short	короткий
hot	горячий
cold	холодный
happy	счастлив
sad	грустно
angry	злой
scared	страшно
surprised	удивление
alone	один
together	вместе
forever	навсегда
today	сегодня
tomorrow	завтра
yesterday	вчера
time	время
year	год
month	месяц
